readLength	count	fracTotal	fracReadsGreater
2694	2	0.0001459	0.186096
2695	2	0.0001459	0.18595
2697	1	7.29501e-05	0.185877
2698	2	0.0001459	0.185731
2699	1	7.29501e-05	0.185658
2704	3	0.00021885	0.185439
2705	1	7.29501e-05	0.185366
2706	1	7.29501e-05	0.185293
2707	3	0.00021885	0.185074
2708	1	7.29501e-05	0.185001
2709	1	7.29501e-05	0.184929
2710	6	0.000437701	0.184491
2711	1	7.29501e-05	0.184418
2712	3	0.00021885	0.184199
2713	5	0.000364751	0.183834
2714	4	0.0002918	0.183542
2715	2	0.0001459	0.183397
2716	5	0.000364751	0.183032
2717	10	0.000729501	0.182302
2718	6	0.000437701	0.181865
2719	7	0.000510651	0.181354
2720	9	0.000656551	0.180697
2721	7	0.000510651	0.180187
2722	10	0.000729501	0.179457
2723	7	0.000510651	0.178947
2724	8	0.000583601	0.178363
2725	10	0.000729501	0.177633
2726	5	0.000364751	0.177269
2727	10	0.000729501	0.176539
2728	9	0.000656551	0.175883
2729	6	0.000437701	0.175445
2730	6	0.000437701	0.175007
2731	6	0.000437701	0.17457
2732	5	0.000364751	0.174205
2733	5	0.000364751	0.17384
2734	6	0.000437701	0.173402
2735	2	0.0001459	0.173256
2736	2	0.0001459	0.173111
2737	2	0.0001459	0.172965
2738	5	0.000364751	0.1726
2740	3	0.00021885	0.172381
2742	3	0.00021885	0.172162
2744	1	7.29501e-05	0.172089
2745	1	7.29501e-05	0.172016
2746	1	7.29501e-05	0.171943
2747	2	0.0001459	0.171797
2749	1	7.29501e-05	0.171725
2750	1	7.29501e-05	0.171652
2751	2	0.0001459	0.171506
2752	4	0.0002918	0.171214
2753	3	0.00021885	0.170995
2755	2	0.0001459	0.170849
2756	2	0.0001459	0.170703
2757	2	0.0001459	0.170557
2758	5	0.000364751	0.170193
2759	3	0.00021885	0.169974
2760	3	0.00021885	0.169755
2761	4	0.0002918	0.169463
2762	1	7.29501e-05	0.16939
2763	6	0.000437701	0.168952
2764	6	0.000437701	0.168515
2765	7	0.000510651	0.168004
2766	12	0.000875401	0.167129
2767	12	0.000875401	0.166253
2768	14	0.0010213	0.165232
2769	15	0.00109425	0.164138
2770	14	0.0010213	0.163116
2771	11	0.000802451	0.162314
2772	24	0.0017508	0.160563
2773	15	0.00109425	0.159469
2774	12	0.000875401	0.158594
2775	12	0.000875401	0.157718
2776	13	0.000948351	0.15677
2777	13	0.000948351	0.155821
2778	14	0.0010213	0.1548
2779	16	0.0011672	0.153633
2780	14	0.0010213	0.152612
2781	9	0.000656551	0.151955
2782	16	0.0011672	0.150788
2783	14	0.0010213	0.149767
2784	13	0.000948351	0.148818
2785	9	0.000656551	0.148162
2786	6	0.000437701	0.147724
2787	3	0.00021885	0.147505
2788	6	0.000437701	0.147067
2789	7	0.000510651	0.146557
2790	10	0.000729501	0.145827
2791	6	0.000437701	0.14539
2792	6	0.000437701	0.144952
2793	4	0.0002918	0.14466
2794	7	0.000510651	0.144149
2795	6	0.000437701	0.143712
2796	7	0.000510651	0.143201
2797	6	0.000437701	0.142763
2798	13	0.000948351	0.141815
2799	12	0.000875401	0.14094
2800	7	0.000510651	0.140429
2801	12	0.000875401	0.139554
2802	11	0.000802451	0.138751
2803	16	0.0011672	0.137584
2804	18	0.0013131	0.136271
2805	26	0.0018967	0.134374
2806	19	0.00138605	0.132988
2807	30	0.0021885	0.1308
2808	29	0.00211555	0.128684
2809	27	0.00196965	0.126714
2810	38	0.0027721	0.123942
2811	40	0.002918	0.121024
2812	32	0.0023344	0.11869
2813	36	0.0026262	0.116064
2814	29	0.00211555	0.113948
2815	21	0.00153195	0.112416
2816	29	0.00211555	0.110301
2817	33	0.00240735	0.107893
2818	18	0.0013131	0.10658
2819	16	0.0011672	0.105413
2820	13	0.000948351	0.104465
2821	18	0.0013131	0.103151
2822	15	0.00109425	0.102057
2823	7	0.000510651	0.101547
2824	6	0.000437701	0.101109
2825	6	0.000437701	0.100671
2826	10	0.000729501	0.0999416
2827	2	0.0001459	0.0997957
2828	4	0.0002918	0.0995039
2829	3	0.00021885	0.0992851
2830	3	0.00021885	0.0990662
2831	2	0.0001459	0.0989203
2832	2	0.0001459	0.0987744
2833	1	7.29501e-05	0.0987015
2834	1	7.29501e-05	0.0986285
2836	2	0.0001459	0.0984826
2837	2	0.0001459	0.0983367
2838	2	0.0001459	0.0981908
2839	1	7.29501e-05	0.0981179
2840	2	0.0001459	0.097972
2841	3	0.00021885	0.0977531
2842	1	7.29501e-05	0.0976802
2843	2	0.0001459	0.0975343
2844	2	0.0001459	0.0973884
2845	5	0.000364751	0.0970236
2847	5	0.000364751	0.0966589
2848	3	0.00021885	0.09644
2849	2	0.0001459	0.0962941
2850	5	0.000364751	0.0959294
2851	7	0.000510651	0.0954187
2852	2	0.0001459	0.0952728
2853	7	0.000510651	0.0947622
2854	8	0.000583601	0.0941786
2855	11	0.000802451	0.0933761
2856	3	0.00021885	0.0931573
2857	6	0.000437701	0.0927196
2858	12	0.000875401	0.0918442
2859	10	0.000729501	0.0911147
2860	11	0.000802451	0.0903122
2861	13	0.000948351	0.0893639
2862	23	0.00167785	0.087686
2863	22	0.0016049	0.0860811
2864	21	0.00153195	0.0845492
2865	21	0.00153195	0.0830172
2866	13	0.000948351	0.0820689
2867	25	0.00182375	0.0802451
2868	19	0.00138605	0.0788591
2869	10	0.000729501	0.0781296
2870	15	0.00109425	0.0770353
2871	15	0.00109425	0.0759411
2872	17	0.00124015	0.0747009
2873	9	0.000656551	0.0740444
2874	16	0.0011672	0.0728772
2875	20	0.001459	0.0714181
2876	12	0.000875401	0.0705427
